"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";401;369;6;776
"'10-19";889;1011;4;1904
"20-29";2201;2468;32;4701
"30-39";2169;2259;27;4455
"40-49";2356;2755;25;5136
"50-59";3185;3452;22;6659
"60-69";1865;1574;15;3454
"70-79";1467;1299;10;2776
"80-89";952;1390;1;2343
"90-99";134;414;4;552
"100+";1;9;0;10
"Unbekannt";6;10;0;16
"Gesamt";15626;17010;146;32782
