"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";403;372;6;781
"'10-19";898;1033;4;1935
"20-29";2231;2511;34;4776
"30-39";2212;2298;29;4539
"40-49";2392;2791;25;5208
"50-59";3227;3505;24;6756
"60-69";1894;1602;15;3511
"70-79";1489;1326;12;2827
"80-89";962;1434;1;2397
"90-99";136;430;4;570
"100+";1;9;0;10
"Unbekannt";7;12;0;19
"Gesamt";15852;17323;154;33329
