"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";482;459;6;947
"'10-19";1082;1281;8;2371
"20-29";2744;3022;42;5808
"30-39";2611;2728;29;5368
"40-49";2756;3360;21;6137
"50-59";3789;4229;21;8039
"60-69";2223;1920;11;4154
"70-79";1797;1695;7;3499
"80-89";1277;1992;0;3269
"90-99";200;645;4;849
"100+";0;10;0;10
"Unbekannt";10;12;0;22
"Gesamt";18971;21353;149;40473
