"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";500;480;11;991
"'10-19";1114;1316;10;2440
"20-29";2844;3105;39;5988
"30-39";2660;2782;27;5469
"40-49";2810;3416;23;6249
"50-59";3848;4318;17;8183
"60-69";2267;1956;11;4234
"70-79";1834;1732;5;3571
"80-89";1318;2059;0;3377
"90-99";204;673;1;878
"100+";0;11;0;11
"Unbekannt";11;11;2;24
"Gesamt";19410;21859;146;41415
