"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";552;530;15;1097
"'10-19";1193;1399;14;2606
"20-29";3162;3314;33;6509
"30-39";2867;2943;18;5828
"40-49";2957;3593;13;6563
"50-59";4055;4512;5;8572
"60-69";2372;2055;7;4434
"70-79";1949;1848;5;3802
"80-89";1427;2236;0;3663
"90-99";226;736;2;964
"100+";0;15;0;15
"Unbekannt";5;4;2;11
"Gesamt";20765;23185;114;44064
