"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";594;566;6;1166
"'10-19";1237;1453;9;2699
"20-29";3367;3448;29;6844
"30-39";2988;3047;19;6054
"40-49";3049;3732;12;6793
"50-59";4155;4677;4;8836
"60-69";2465;2098;5;4568
"70-79";2018;1926;2;3946
"80-89";1478;2351;2;3831
"90-99";238;774;2;1014
"100+";2;15;0;17
"Unbekannt";4;5;0;9
"Gesamt";21595;24092;90;45777
