"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";633;597;7;1237
"'10-19";1284;1480;5;2769
"20-29";3537;3537;30;7104
"30-39";3094;3139;18;6251
"40-49";3105;3816;9;6930
"50-59";4232;4784;3;9019
"60-69";2514;2150;2;4666
"70-79";2057;1966;3;4026
"80-89";1509;2411;2;3922
"90-99";244;798;2;1044
"100+";2;15;0;17
"Unbekannt";6;7;0;13
"Gesamt";22217;24700;81;46998
