"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";654;610;1;1265
"'10-19";1313;1501;2;2816
"20-29";3604;3594;12;7210
"30-39";3162;3163;9;6334
"40-49";3137;3842;3;6982
"50-59";4273;4828;1;9102
"60-69";2522;2181;0;4703
"70-79";2065;1972;1;4038
"80-89";1515;2446;1;3962
"90-99";246;808;1;1055
"100+";3;15;1;19
"Unbekannt";6;4;0;10
"Gesamt";22500;24964;32;47496
