"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";659;623;2;1284
"'10-19";1334;1512;2;2848
"20-29";3653;3626;14;7293
"30-39";3210;3185;9;6404
"40-49";3154;3852;4;7010
"50-59";4295;4837;2;9134
"60-69";2536;2189;0;4725
"70-79";2063;1979;1;4043
"80-89";1518;2447;0;3965
"90-99";247;810;1;1058
"100+";3;14;0;17
"Unbekannt";6;2;0;8
"Gesamt";22678;25076;35;47789
