"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";741;698;4;1443
"'10-19";1394;1561;3;2958
"20-29";3847;3734;4;7585
"30-39";3357;3279;7;6643
"40-49";3264;3938;1;7203
"50-59";4365;4928;1;9294
"60-69";2571;2222;1;4794
"70-79";2092;2001;1;4094
"80-89";1529;2474;0;4003
"90-99";248;814;1;1063
"100+";0;12;0;12
"Unbekannt";3;2;0;5
"Gesamt";23411;25663;23;49097
