"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";747;699;4;1450
"'10-19";1404;1565;3;2972
"20-29";3858;3738;4;7600
"30-39";3371;3283;8;6662
"40-49";3270;3942;1;7213
"50-59";4370;4928;1;9299
"60-69";2574;2223;2;4799
"70-79";2092;2004;1;4097
"80-89";1529;2474;0;4003
"90-99";248;814;1;1063
"100+";0;12;0;12
"Unbekannt";3;2;0;5
"Gesamt";23466;25684;25;49175
