"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";842;785;8;1635
"'10-19";1557;1675;3;3235
"20-29";4161;4028;14;8203
"30-39";3599;3501;15;7115
"40-49";3472;4188;8;7668
"50-59";4543;5067;10;9620
"60-69";2639;2280;2;4921
"70-79";2119;2030;1;4150
"80-89";1551;2496;1;4048
"90-99";251;821;0;1072
"100+";0;13;0;13
"Unbekannt";5;6;14;25
"Gesamt";24739;26890;76;51705
