"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";851;791;10;1652
"'10-19";1591;1696;4;3291
"20-29";4219;4075;15;8309
"30-39";3618;3532;15;7165
"40-49";3496;4230;8;7734
"50-59";4567;5084;11;9662
"60-69";2648;2285;2;4935
"70-79";2126;2032;1;4159
"80-89";1551;2499;1;4051
"90-99";252;822;0;1074
"100+";0;13;0;13
"Unbekannt";5;5;14;24
"Gesamt";24924;27064;81;52069
