"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";912;854;18;1784
"'10-19";1832;1858;9;3699
"20-29";4583;4347;30;8960
"30-39";3783;3664;25;7472
"40-49";3659;4361;22;8042
"50-59";4645;5160;15;9820
"60-69";2680;2314;2;4996
"70-79";2143;2040;1;4184
"80-89";1561;2508;1;4070
"90-99";252;822;0;1074
"100+";1;16;0;17
"Unbekannt";5;7;17;29
"Gesamt";26056;27951;140;54147
