"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";949;883;25;1857
"'10-19";1953;1934;13;3900
"20-29";4707;4452;31;9190
"30-39";3852;3732;33;7617
"40-49";3724;4429;24;8177
"50-59";4686;5191;17;9894
"60-69";2687;2319;3;5009
"70-79";2153;2044;2;4199
"80-89";1567;2512;1;4080
"90-99";252;823;0;1075
"100+";2;15;0;17
"Unbekannt";6;6;19;31
"Gesamt";26538;28340;168;55046
