"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";961;903;25;1889
"'10-19";1997;1984;15;3996
"20-29";4782;4504;34;9320
"30-39";3885;3766;35;7686
"40-49";3756;4464;24;8244
"50-59";4709;5205;18;9932
"60-69";2695;2323;3;5021
"70-79";2155;2045;2;4202
"80-89";1565;2513;1;4079
"90-99";253;823;0;1076
"100+";2;15;0;17
"Unbekannt";6;6;19;31
"Gesamt";26766;28551;176;55493
