"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";981;923;26;1930
"'10-19";2033;2027;16;4076
"20-29";4828;4546;34;9408
"30-39";3909;3794;36;7739
"40-49";3777;4486;25;8288
"50-59";4722;5217;18;9957
"60-69";2701;2331;3;5035
"70-79";2156;2047;2;4205
"80-89";1566;2514;1;4081
"90-99";253;823;0;1076
"100+";1;14;0;15
"Unbekannt";5;6;19;30
"Gesamt";26932;28728;180;55840
