"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1038;967;28;2033
"'10-19";2166;2137;18;4321
"20-29";5021;4678;45;9744
"30-39";4002;3881;48;7931
"40-49";3852;4559;32;8443
"50-59";4782;5271;20;10073
"60-69";2713;2344;5;5062
"70-79";2161;2051;3;4215
"80-89";1568;2524;1;4093
"90-99";254;829;0;1083
"100+";2;14;0;16
"Unbekannt";5;7;18;30
"Gesamt";27564;29262;218;57044
