"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1105;1035;35;2175
"'10-19";2317;2271;23;4611
"20-29";5252;4852;50;10154
"30-39";4127;4010;57;8194
"40-49";3972;4672;35;8679
"50-59";4849;5331;23;10203
"60-69";2736;2360;6;5102
"70-79";2172;2058;4;4234
"80-89";1568;2529;1;4098
"90-99";254;830;0;1084
"100+";2;15;0;17
"Unbekannt";5;10;17;32
"Gesamt";28359;29973;251;58583
