"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1122;1046;34;2202
"'10-19";2364;2308;23;4695
"20-29";5319;4899;52;10270
"30-39";4164;4039;56;8259
"40-49";4005;4699;35;8739
"50-59";4872;5340;23;10235
"60-69";2746;2365;7;5118
"70-79";2173;2061;4;4238
"80-89";1570;2535;1;4106
"90-99";255;833;0;1088
"100+";2;15;0;17
"Unbekannt";5;10;17;32
"Gesamt";28597;30150;252;58999
