"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1176;1084;35;2295
"'10-19";2434;2392;28;4854
"20-29";5422;5027;52;10501
"30-39";4258;4123;57;8438
"40-49";4073;4777;34;8884
"50-59";4925;5375;24;10324
"60-69";2759;2379;8;5146
"70-79";2178;2065;4;4247
"80-89";1571;2537;1;4109
"90-99";255;835;0;1090
"100+";2;15;0;17
"Unbekannt";6;9;17;32
"Gesamt";29059;30618;260;59937
