"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1194;1100;36;2330
"'10-19";2487;2432;35;4954
"20-29";5489;5084;58;10631
"30-39";4288;4163;62;8513
"40-49";4105;4819;38;8962
"50-59";4958;5407;26;10391
"60-69";2768;2388;8;5164
"70-79";2186;2071;4;4261
"80-89";1577;2542;1;4120
"90-99";255;836;0;1091
"100+";2;15;0;17
"Unbekannt";5;9;4;18
"Gesamt";29314;30866;272;60452
