"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1684;1548;44;3276
"'10-19";3626;3448;60;7134
"20-29";7508;6919;108;14535
"30-39";5739;5345;68;11152
"40-49";5255;5962;57;11274
"50-59";6214;6444;37;12695
"60-69";3290;2891;17;6198
"70-79";2472;2369;7;4848
"80-89";1712;2742;6;4460
"90-99";273;895;0;1168
"100+";2;17;0;19
"Unbekannt";16;23;6;45
"Gesamt";37791;38603;410;76804
