"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1775;1641;45;3461
"'10-19";3958;3700;64;7722
"20-29";7985;7320;121;15426
"30-39";6070;5623;75;11768
"40-49";5537;6263;66;11866
"50-59";6580;6718;48;13346
"60-69";3446;3030;17;6493
"70-79";2576;2456;13;5045
"80-89";1752;2812;7;4571
"90-99";279;910;0;1189
"100+";3;18;0;21
"Unbekannt";20;28;10;58
"Gesamt";39981;40519;466;80966
