"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1984;1866;51;3901
"'10-19";4411;4144;78;8633
"20-29";8766;8007;136;16909
"30-39";6738;6163;88;12989
"40-49";6141;6805;74;13020
"50-59";7257;7324;63;14644
"60-69";3742;3291;26;7059
"70-79";2758;2643;15;5416
"80-89";1822;2897;11;4730
"90-99";285;934;0;1219
"100+";4;18;0;22
"Unbekannt";29;32;10;71
"Gesamt";43937;44124;552;88613
