"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";2028;1912;54;3994
"'10-19";4528;4238;80;8846
"20-29";8959;8145;138;17242
"30-39";6859;6262;89;13210
"40-49";6260;6920;74;13254
"50-59";7397;7440;64;14901
"60-69";3791;3346;25;7162
"70-79";2804;2669;16;5489
"80-89";1842;2920;11;4773
"90-99";287;940;0;1227
"100+";4;19;0;23
"Unbekannt";29;34;10;73
"Gesamt";44788;44845;561;90194
