ALDER;KØN;TID;INDHOLD
0;1;2010;32435
0;1;2011;32628
0;1;2012;30184
0;1;2013;29991
0;1;2014;28751
0;1;2015;29375
0;1;2016;30049
0;1;2017;31971
0;1;2018;31624
0;1;2019;31754
0;1;2020;31649
0;2;2010;30743
0;2;2011;31111
0;2;2012;29122
0;2;2013;28255
0;2;2014;27410
0;2;2015;27755
0;2;2016;28556
0;2;2017;30054
0;2;2018;30107
0;2;2019;29979
0;2;2020;29817
1;1;2010;33984
1;1;2011;32714
1;1;2012;32854
1;1;2013;30402
1;1;2014;30273
1;1;2015;29064
1;1;2016;29750
1;1;2017;30364
1;1;2018;32226
1;1;2019;31799
1;1;2020;31880
1;2;2010;31993
1;2;2011;30951
1;2;2012;31314
1;2;2013;29316
1;2;2014;28448
1;2;2015;27684
1;2;2016;28144
1;2;2017;28889
1;2;2018;30282
1;2;2019;30247
1;2;2020;30036
2;1;2010;33380
2;1;2011;34125
2;1;2012;32813
2;1;2013;33032
2;1;2014;30596
2;1;2015;30485
2;1;2016;29459
2;1;2017;30069
2;1;2018;30524
2;1;2019;32318
2;1;2020;31833
2;2;2010;31825
2;2;2011;32110
2;2;2012;31029
2;2;2013;31390
2;2;2014;29450
2;2;2015;28649
2;2;2016;28025
2;2;2017;28451
2;2;2018;28999
2;2;2019;30357
2;2;2020;30315
3;1;2010;34034
3;1;2011;33490
3;1;2012;34207
3;1;2013;32921
3;1;2014;33151
3;1;2015;30753
3;1;2016;30834
3;1;2017;29675
3;1;2018;30231
3;1;2019;30563
3;1;2020;32347
3;2;2010;32214
3;2;2011;31916
3;2;2012;32151
3;2;2013;31085
3;2;2014;31487
3;2;2015;29636
3;2;2016;28969
3;2;2017;28302
3;2;2018;28600
3;2;2019;29045
3;2;2020;30350
4;1;2010;33339
4;1;2011;34127
4;1;2012;33582
4;1;2013;34325
4;1;2014;33021
4;1;2015;33324
4;1;2016;31038
4;1;2017;31101
4;1;2018;29754
4;1;2019;30260
4;1;2020;30577
4;2;2010;32120
4;2;2011;32323
4;2;2012;31947
4;2;2013;32239
4;2;2014;31195
4;2;2015;31643
4;2;2016;29924
4;2;2017;29187
4;2;2018;28451
4;2;2019;28641
4;2;2020;29084
5;1;2010;33465
5;1;2011;33361
5;1;2012;34137
5;1;2013;33629
5;1;2014;34421
5;1;2015;33171
5;1;2016;33643
5;1;2017;31315
5;1;2018;31183
5;1;2019;29828
5;1;2020;30308
5;2;2010;32081
5;2;2011;32171
5;2;2012;32369
5;2;2013;32014
5;2;2014;32321
5;2;2015;31375
5;2;2016;31973
5;2;2017;30169
5;2;2018;29295
5;2;2019;28524
5;2;2020;28685
6;1;2010;33553
6;1;2011;33556
6;1;2012;33419
6;1;2013;34197
6;1;2014;33742
6;1;2015;34598
6;1;2016;33495
6;1;2017;33846
6;1;2018;31402
6;1;2019;31250
6;1;2020;29872
6;2;2010;31981
6;2;2011;32091
6;2;2012;32178
6;2;2013;32437
6;2;2014;32080
6;2;2015;32485
6;2;2016;31652
6;2;2017;32201
6;2;2018;30303
6;2;2019;29390
6;2;2020;28543
7;1;2010;33373
7;1;2011;33579
7;1;2012;33577
7;1;2013;33446
7;1;2014;34266
7;1;2015;33877
7;1;2016;34918
7;1;2017;33738
7;1;2018;33940
7;1;2019;31439
7;1;2020;31307
7;2;2010;31568
7;2;2011;32004
7;2;2012;32116
7;2;2013;32230
7;2;2014;32496
7;2;2015;32245
7;2;2016;32763
7;2;2017;31898
7;2;2018;32296
7;2;2019;30359
7;2;2020;29438
8;1;2010;33671
8;1;2011;33427
8;1;2012;33649
8;1;2013;33628
8;1;2014;33567
8;1;2015;34436
8;1;2016;34180
8;1;2017;35147
8;1;2018;33872
8;1;2019;34033
8;1;2020;31510
8;2;2010;32305
8;2;2011;31612
8;2;2012;32018
8;2;2013;32173
8;2;2014;32294
8;2;2015;32617
8;2;2016;32492
8;2;2017;32974
8;2;2018;31999
8;2;2019;32353
8;2;2020;30416
9;1;2010;34689
9;1;2011;33693
9;1;2012;33447
9;1;2013;33695
9;1;2014;33739
9;1;2015;33709
9;1;2016;34688
9;1;2017;34430
9;1;2018;35294
9;1;2019;33963
9;1;2020;34130
9;2;2010;33188
9;2;2011;32373
9;2;2012;31638
9;2;2013;32071
9;2;2014;32220
9;2;2015;32434
9;2;2016;32821
9;2;2017;32725
9;2;2018;33097
9;2;2019;32114
9;2;2020;32392
10;1;2010;34294
10;1;2011;34729
10;1;2012;33741
10;1;2013;33498
10;1;2014;33751
10;1;2015;33886
10;1;2016;33963
10;1;2017;34893
10;1;2018;34533
10;1;2019;35361
10;1;2020;34062
10;2;2010;32922
10;2;2011;33225
10;2;2012;32399
10;2;2013;31669
10;2;2014;32158
10;2;2015;32413
10;2;2016;32656
10;2;2017;33014
10;2;2018;32820
10;2;2019;33180
10;2;2020;32192
11;1;2010;34644
11;1;2011;34343
11;1;2012;34791
11;1;2013;33797
11;1;2014;33562
11;1;2015;33909
11;1;2016;34105
11;1;2017;34129
11;1;2018;35009
11;1;2019;34617
11;1;2020;35382
11;2;2010;32890
11;2;2011;32980
11;2;2012;33299
11;2;2013;32476
11;2;2014;31749
11;2;2015;32302
11;2;2016;32598
11;2;2017;32858
11;2;2018;33146
11;2;2019;32909
11;2;2020;33267
12;1;2010;35439
12;1;2011;34687
12;1;2012;34400
12;1;2013;34841
12;1;2014;33874
12;1;2015;33665
12;1;2016;34130
12;1;2017;34281
12;1;2018;34244
12;1;2019;35124
12;1;2020;34682
12;2;2010;33630
12;2;2011;32937
12;2;2012;33034
12;2;2013;33387
12;2;2014;32548
12;2;2015;31863
12;2;2016;32463
12;2;2017;32741
12;2;2018;32925
12;2;2019;33251
12;2;2020;32991
13;1;2010;35681
13;1;2011;35511
13;1;2012;34750
13;1;2013;34455
13;1;2014;34897
13;1;2015;33998
13;1;2016;33870
13;1;2017;34292
13;1;2018;34391
13;1;2019;34310
13;1;2020;35201
13;2;2010;33833
13;2;2011;33670
13;2;2012;32967
13;2;2013;33094
13;2;2014;33474
13;2;2015;32663
13;2;2016;32017
13;2;2017;32636
13;2;2018;32876
13;2;2019;33035
13;2;2020;33322
14;1;2010;37062
14;1;2011;35737
14;1;2012;35586
14;1;2013;34863
14;1;2014;34544
14;1;2015;35052
14;1;2016;34227
14;1;2017;34066
14;1;2018;34394
14;1;2019;34491
14;1;2020;34417
14;2;2010;34982
14;2;2011;33906
14;2;2012;33740
14;2;2013;33040
14;2;2014;33185
14;2;2015;33581
14;2;2016;32872
14;2;2017;32152
14;2;2018;32753
14;2;2019;32976
14;2;2020;33113
15;1;2010;37064
15;1;2011;37173
15;1;2012;35876
15;1;2013;35710
15;1;2014;34988
15;1;2015;34743
15;1;2016;35333
15;1;2017;34489
15;1;2018;34265
15;1;2019;34562
15;1;2020;34643
15;2;2010;35482
15;2;2011;35137
15;2;2012;34011
15;2;2013;33883
15;2;2014;33186
15;2;2015;33376
15;2;2016;33794
15;2;2017;33066
15;2;2018;32349
15;2;2019;32950
15;2;2020;33125
16;1;2010;36169
16;1;2011;37315
16;1;2012;37383
16;1;2013;36099
16;1;2014;35966
16;1;2015;35305
16;1;2016;35107
16;1;2017;35704
16;1;2018;34837
16;1;2019;34497
16;1;2020;34775
16;2;2010;34313
16;2;2011;35705
16;2;2012;35357
16;2;2013;34179
16;2;2014;34107
16;2;2015;33517
16;2;2016;33665
16;2;2017;34135
16;2;2018;33364
16;2;2019;32645
16;2;2020;33173
17;1;2010;36576
17;1;2011;36228
17;1;2012;37431
17;1;2013;37455
17;1;2014;36175
17;1;2015;36085
17;1;2016;35572
17;1;2017;35408
17;1;2018;35837
17;1;2019;34823
17;1;2020;34560
17;2;2010;34588
17;2;2011;34387
17;2;2012;35773
17;2;2013;35379
17;2;2014;34332
17;2;2015;34221
17;2;2016;33715
17;2;2017;33852
17;2;2018;34278
17;2;2019;33437
17;2;2020;32744
18;1;2010;34915
18;1;2011;36686
18;1;2012;36329
18;1;2013;37572
18;1;2014;37683
18;1;2015;36433
18;1;2016;36543
18;1;2017;35960
18;1;2018;35665
18;1;2019;36072
18;1;2020;35025
18;2;2010;33236
18;2;2011;34690
18;2;2012;34511
18;2;2013;35919
18;2;2014;35572
18;2;2015;34540
18;2;2016;34588
18;2;2017;34048
18;2;2018;34116
18;2;2019;34494
18;2;2020;33614
19;1;2010;35233
19;1;2011;35425
19;1;2012;37246
19;1;2013;36981
19;1;2014;38218
19;1;2015;38523
19;1;2016;37413
19;1;2017;37428
19;1;2018;36675
19;1;2019;36320
19;1;2020;36640
19;2;2010;33352
19;2;2011;33720
19;2;2012;35208
19;2;2013;35047
19;2;2014;36519
19;2;2015;36161
19;2;2016;35234
19;2;2017;35260
19;2;2018;34594
19;2;2019;34615
19;2;2020;34983
20;1;2010;34474
20;1;2011;35744
20;1;2012;36083
20;1;2013;37928
20;1;2014;37627
20;1;2015;38979
20;1;2016;39564
20;1;2017;38239
20;1;2018;38176
20;1;2019;37348
20;1;2020;36827
20;2;2010;32954
20;2;2011;34032
20;2;2012;34738
20;2;2013;36018
20;2;2014;35843
20;2;2015;37231
20;2;2016;37425
20;2;2017;36333
20;2;2018;36409
20;2;2019;35472
20;2;2020;35304
21;1;2010;33892
21;1;2011;35076
21;1;2012;36585
21;1;2013;36674
21;1;2014;38578
21;1;2015;38246
21;1;2016;40044
21;1;2017;40279
21;1;2018;38974
21;1;2019;38759
21;1;2020;37812
21;2;2010;32633
21;2;2011;33801
21;2;2012;35208
21;2;2013;35457
21;2;2014;36950
21;2;2015;36637
21;2;2016;38426
21;2;2017;38288
21;2;2018;37320
21;2;2019;37047
21;2;2020;36089
22;1;2010;32988
22;1;2011;34353
22;1;2012;35546
22;1;2013;36904
22;1;2014;37136
22;1;2015;39039
22;1;2016;39139
22;1;2017;40709
22;1;2018;40766
22;1;2019;39456
22;1;2020;39044
22;2;2010;31587
22;2;2011;33191
22;2;2012;34497
22;2;2013;35693
22;2;2014;35939
22;2;2015;37421
22;2;2016;37463
22;2;2017;39191
22;2;2018;38954
22;2;2019;37850
22;2;2020;37418
23;1;2010;33000
23;1;2011;33480
23;1;2012;34880
23;1;2013;36187
23;1;2014;37492
23;1;2015;37800
23;1;2016;40081
23;1;2017;40061
23;1;2018;41381
23;1;2019;41330
23;1;2020;39767
23;2;2010;31683
23;2;2011;32192
23;2;2012;33734
23;2;2013;35150
23;2;2014;36357
23;2;2015;36619
23;2;2016;38339
23;2;2017;38338
23;2;2018;39917
23;2;2019;39511
23;2;2020;38262
24;1;2010;32064
24;1;2011;33344
24;1;2012;33727
24;1;2013;35357
24;1;2014;36762
24;1;2015;38170
24;1;2016;38770
24;1;2017;40846
24;1;2018;40642
24;1;2019;41754
24;1;2020;41504
24;2;2010;31260
24;2;2011;32246
24;2;2012;32477
24;2;2013;34257
24;2;2014;35590
24;2;2015;36898
24;2;2016;37498
24;2;2017;39038
24;2;2018;39033
24;2;2019;40463
24;2;2020;39864
25;1;2010;30911
25;1;2011;32248
25;1;2012;33477
25;1;2013;34078
25;1;2014;35815
25;1;2015;37229
25;1;2016;39081
25;1;2017;39395
25;1;2018;41297
25;1;2019;40863
25;1;2020;41928
25;2;2010;30408
25;2;2011;31692
25;2;2012;32421
25;2;2013;32926
25;2;2014;34651
25;2;2015;35995
25;2;2016;37556
25;2;2017;38096
25;2;2018;39476
25;2;2019;39340
25;2;2020;40510
26;1;2010;30251
26;1;2011;31189
26;1;2012;32491
26;1;2013;33753
26;1;2014;34438
26;1;2015;36238
26;1;2016;37992
26;1;2017;39611
26;1;2018;39685
26;1;2019;41542
26;1;2020;40937
26;2;2010;30151
26;2;2011;30720
26;2;2012;31914
26;2;2013;32701
26;2;2014;33293
26;2;2015;34954
26;2;2016;36601
26;2;2017;37926
26;2;2018;38400
26;2;2019;39656
26;2;2020;39252
27;1;2010;31251
27;1;2011;30545
27;1;2012;31338
27;1;2013;32718
27;1;2014;34085
27;1;2015;34884
27;1;2016;37034
27;1;2017;38426
27;1;2018;39988
27;1;2019;39898
27;1;2020;41554
27;2;2010;30658
27;2;2011;30493
27;2;2012;30904
27;2;2013;32152
27;2;2014;32955
27;2;2015;33564
27;2;2016;35444
27;2;2017;37003
27;2;2018;38250
27;2;2019;38599
27;2;2020;39611
28;1;2010;30846
28;1;2011;31525
28;1;2012;30566
28;1;2013;31548
28;1;2014;33010
28;1;2015;34479
28;1;2016;35678
28;1;2017;37465
28;1;2018;38737
28;1;2019;40156
28;1;2020;39904
28;2;2010;30951
28;2;2011;30913
28;2;2012;30571
28;2;2013;31056
28;2;2014;32393
28;2;2015;33090
28;2;2016;33997
28;2;2017;35869
28;2;2018;37212
28;2;2019;38469
28;2;2020;38593
29;1;2010;32698
29;1;2011;31041
29;1;2012;31555
29;1;2013;30650
29;1;2014;31851
29;1;2015;33331
29;1;2016;35087
29;1;2017;36085
29;1;2018;37639
29;1;2019;38972
29;1;2020;40085
29;2;2010;32845
29;2;2011;31182
29;2;2012;30953
29;2;2013;30640
29;2;2014;31216
29;2;2015;32594
29;2;2016;33513
29;2;2017;34241
29;2;2018;36093
29;2;2019;37394
29;2;2020;38436
30;1;2010;33363
30;1;2011;32918
30;1;2012;31113
30;1;2013;31684
30;1;2014;30923
30;1;2015;32308
30;1;2016;33978
30;1;2017;35526
30;1;2018;36313
30;1;2019;37768
30;1;2020;38816
30;2;2010;33449
30;2;2011;32966
30;2;2012;31098
30;2;2013;30969
30;2;2014;30765
30;2;2015;31325
30;2;2016;32966
30;2;2017;33792
30;2;2018;34434
30;2;2019;36170
30;2;2020;37393
31;1;2010;34603
31;1;2011;33557
31;1;2012;33014
31;1;2013;31250
31;1;2014;31985
31;1;2015;31384
31;1;2016;32883
31;1;2017;34270
31;1;2018;35720
31;1;2019;36357
31;1;2020;37747
31;2;2010;34407
31;2;2011;33527
31;2;2012;33031
31;2;2013;31121
31;2;2014;31092
31;2;2015;30922
31;2;2016;31678
31;2;2017;33241
31;2;2018;33879
31;2;2019;34504
31;2;2020;36056
32;1;2010;34437
32;1;2011;34664
32;1;2012;33644
32;1;2013;33162
32;1;2014;31534
32;1;2015;32363
32;1;2016;31955
32;1;2017;33238
32;1;2018;34477
32;1;2019;35744
32;1;2020;36217
32;2;2010;34208
32;2;2011;34456
32;2;2012;33569
32;2;2013;33060
32;2;2014;31265
32;2;2015;31237
32;2;2016;31209
32;2;2017;31899
32;2;2018;33446
32;2;2019;34043
32;2;2020;34463
33;1;2010;36046
33;1;2011;34468
33;1;2012;34726
33;1;2013;33751
33;1;2014;33304
33;1;2015;31864
33;1;2016;32842
33;1;2017;32241
33;1;2018;33344
33;1;2019;34553
33;1;2020;35612
33;2;2010;35411
33;2;2011;34362
33;2;2012;34478
33;2;2013;33648
33;2;2014;33202
33;2;2015;31500
33;2;2016;31567
33;2;2017;31450
33;2;2018;32033
33;2;2019;33575
33;2;2020;34014
34;1;2010;38629
34;1;2011;36135
34;1;2012;34541
34;1;2013;34842
34;1;2014;34016
34;1;2015;33607
34;1;2016;32279
34;1;2017;33032
34;1;2018;32373
34;1;2019;33424
34;1;2020;34443
34;2;2010;38816
34;2;2011;35540
34;2;2012;34407
34;2;2013;34576
34;2;2014;33804
34;2;2015;33359
34;2;2016;31811
34;2;2017;31857
34;2;2018;31638
34;2;2019;32136
34;2;2020;33585
35;1;2010;38170
35;1;2011;38704
35;1;2012;36089
35;1;2013;34598
35;1;2014;35012
35;1;2015;34313
35;1;2016;34043
35;1;2017;32517
35;1;2018;33208
35;1;2019;32535
35;1;2020;33311
35;2;2010;38140
35;2;2011;38935
35;2;2012;35631
35;2;2013;34498
35;2;2014;34717
35;2;2015;33954
35;2;2016;33672
35;2;2017;32026
35;2;2018;32061
35;2;2019;31713
35;2;2020;32167
36;1;2010;38407
36;1;2011;38270
36;1;2012;38716
36;1;2013;36142
36;1;2014;34728
36;1;2015;35237
36;1;2016;34660
36;1;2017;34260
36;1;2018;32657
36;1;2019;33355
36;1;2020;32379
36;2;2010;38095
36;2;2011;38253
36;2;2012;38978
36;2;2013;35679
36;2;2014;34624
36;2;2015;34855
36;2;2016;34236
36;2;2017;33886
36;2;2018;32185
36;2;2019;32171
36;2;2020;31710
37;1;2010;39964
37;1;2011;38418
37;1;2012;38261
37;1;2013;38717
37;1;2014;36254
37;1;2015;34979
37;1;2016;35528
37;1;2017;34860
37;1;2018;34281
37;1;2019;32680
37;1;2020;33255
37;2;2010;39846
37;2;2011;38176
37;2;2012;38279
37;2;2013;39081
37;2;2014;35811
37;2;2015;34791
37;2;2016;35108
37;2;2017;34399
37;2;2018;34016
37;2;2019;32245
37;2;2020;32197
38;1;2010;40024
38;1;2011;40010
38;1;2012;38386
38;1;2013;38288
38;1;2014;38805
38;1;2015;36509
38;1;2016;35273
38;1;2017;35704
38;1;2018;34909
38;1;2019;34418
38;1;2020;32673
38;2;2010;38961
38;2;2011;39914
38;2;2012;38202
38;2;2013;38333
38;2;2014;39194
38;2;2015;35921
38;2;2016;34989
38;2;2017;35279
38;2;2018;34502
38;2;2019;34102
38;2;2020;32275
39;1;2010;38214
39;1;2011;40057
39;1;2012;39936
39;1;2013;38383
39;1;2014;38402
39;1;2015;39003
39;1;2016;36820
39;1;2017;35341
39;1;2018;35800
39;1;2019;35070
39;1;2020;34359
39;2;2010;37572
39;2;2011;39051
39;2;2012;39937
39;2;2013;38252
39;2;2014;38388
39;2;2015;39303
39;2;2016;36096
39;2;2017;35151
39;2;2018;35389
39;2;2019;34598
39;2;2020;34136
40;1;2010;38326
40;1;2011;38160
40;1;2012;39931
40;1;2013;39925
40;1;2014;38454
40;1;2015;38556
40;1;2016;39242
40;1;2017;36920
40;1;2018;35395
40;1;2019;35825
40;1;2020;34974
40;2;2010;37252
